id,no_serie,hora_partida,hora_chegada,partida,chegada
681,B737-002,2025-05-17 20:00:00,2025-05-17 23:00:00,FRA,ORY
682,B737-003,2025-05-17 06:00:00,2025-05-17 09:00:00,ORY,OPO
683,A330-002,2025-05-17 15:00:00,2025-05-17 16:00:00,BCN,MAD
684,A320-002,2025-05-17 09:00:00,2025-05-17 10:00:00,ORY,LHR
685,B737-001,2025-05-17 15:00:00,2025-05-17 16:00:00,LIS,CDG
686,B737-003,2025-05-18 13:00:00,2025-05-18 14:00:00,OPO,FRA
687,A320-001,2025-05-18 09:00:00,2025-05-18 10:00:00,FRA,BCN
688,B737-002,2025-05-18 14:00:00,2025-05-18 16:00:00,ORY,CDG
689,A330-002,2025-05-18 19:00:00,2025-05-18 22:00:00,MAD,ORY
690,A330-003,2025-05-18 15:00:00,2025-05-18 18:00:00,LIS,MAD
691,A330-002,2025-05-19 09:00:00,2025-05-19 11:00:00,ORY,BCN
692,B737-002,2025-05-19 10:00:00,2025-05-19 11:00:00,CDG,LGW
693,A330-001,2025-05-19 15:00:00,2025-05-19 18:00:00,BCN,FCO
694,A320-002,2025-05-19 16:00:00,2025-05-19 19:00:00,LHR,CDG
695,B737-004,2025-05-19 14:00:00,2025-05-19 16:00:00,FCO,MAD
696,A320-001,2025-05-20 17:00:00,2025-05-20 19:00:00,BCN,LGW
697,A330-002,2025-05-20 08:00:00,2025-05-20 10:00:00,BCN,MAD
698,A320-003,2025-05-20 08:00:00,2025-05-20 11:00:00,LHR,FRA
699,B737-003,2025-05-20 09:00:00,2025-05-20 10:00:00,FRA,FCO
700,A330-001,2025-05-20 19:00:00,2025-05-20 22:00:00,FCO,LHR
701,B737-001,2025-05-21 14:00:00,2025-05-21 17:00:00,CDG,FRA
702,B737-003,2025-05-21 12:00:00,2025-05-21 13:00:00,FCO,CDG
703,A320-001,2025-05-21 09:00:00,2025-05-21 11:00:00,LGW,LHR
704,A330-001,2025-05-21 20:00:00,2025-05-21 22:00:00,LHR,OPO
705,B737-002,2025-05-21 07:00:00,2025-05-21 10:00:00,LGW,MAD
706,B737-002,2025-05-22 19:00:00,2025-05-22 20:00:00,MAD,LIS
707,A320-001,2025-05-22 18:00:00,2025-05-22 21:00:00,LHR,ORY
708,A330-001,2025-05-22 09:00:00,2025-05-22 11:00:00,OPO,BCN
709,B737-004,2025-05-22 19:00:00,2025-05-22 21:00:00,MAD,ORY
710,A330-002,2025-05-22 20:00:00,2025-05-22 21:00:00,MAD,LHR
711,B737-002,2025-05-23 17:00:00,2025-05-23 20:00:00,LIS,LHR
712,B737-004,2025-05-23 12:00:00,2025-05-23 13:00:00,ORY,LHR
713,A320-002,2025-05-23 11:00:00,2025-05-23 13:00:00,CDG,BCN
714,A330-002,2025-05-23 13:00:00,2025-05-23 16:00:00,LHR,FRA
715,A330-003,2025-05-23 10:00:00,2025-05-23 12:00:00,MAD,LGW
716,A330-002,2025-05-24 18:00:00,2025-05-24 20:00:00,FRA,FCO
717,A330-003,2025-05-24 11:00:00,2025-05-24 13:00:00,LGW,ORY
718,B737-003,2025-05-24 06:00:00,2025-05-24 09:00:00,CDG,FRA
719,B737-002,2025-05-24 17:00:00,2025-05-24 18:00:00,LHR,ORY
720,A320-001,2025-05-24 10:00:00,2025-05-24 13:00:00,ORY,LIS
721,B737-004,2025-05-25 09:00:00,2025-05-25 11:00:00,LHR,MAD
722,A320-003,2025-05-25 13:00:00,2025-05-25 16:00:00,FRA,ORY
723,A330-001,2025-05-25 10:00:00,2025-05-25 12:00:00,BCN,LGW
724,A320-002,2025-05-25 13:00:00,2025-05-25 14:00:00,BCN,FRA
725,A330-003,2025-05-25 08:00:00,2025-05-25 09:00:00,ORY,MAD
726,A330-003,2025-05-26 14:00:00,2025-05-26 15:00:00,MAD,LIS
727,B737-003,2025-05-26 19:00:00,2025-05-26 22:00:00,FRA,OPO
728,B737-001,2025-05-26 18:00:00,2025-05-26 19:00:00,FRA,LIS
729,A330-001,2025-05-26 08:00:00,2025-05-26 11:00:00,LGW,FRA
730,A330-002,2025-05-26 07:00:00,2025-05-26 10:00:00,FCO,ORY
731,B737-001,2025-05-27 06:00:00,2025-05-27 09:00:00,LIS,MAD
732,A320-001,2025-05-27 16:00:00,2025-05-27 18:00:00,LIS,FCO
733,B737-002,2025-05-27 06:00:00,2025-05-27 09:00:00,ORY,LIS
734,A330-001,2025-05-27 12:00:00,2025-05-27 13:00:00,FRA,BCN
735,B737-003,2025-05-27 14:00:00,2025-05-27 17:00:00,OPO,LIS
736,A330-001,2025-05-28 18:00:00,2025-05-28 19:00:00,BCN,MAD
737,A330-003,2025-05-28 20:00:00,2025-05-28 21:00:00,LIS,CDG
738,B737-004,2025-05-28 08:00:00,2025-05-28 09:00:00,MAD,BCN
739,A320-001,2025-05-28 15:00:00,2025-05-28 18:00:00,FCO,ORY
740,B737-003,2025-05-28 19:00:00,2025-05-28 21:00:00,LIS,LGW
741,A330-001,2025-05-29 15:00:00,2025-05-29 16:00:00,MAD,FCO
742,A320-003,2025-05-29 10:00:00,2025-05-29 13:00:00,ORY,LHR
743,A320-002,2025-05-29 16:00:00,2025-05-29 19:00:00,FRA,OPO
744,B737-001,2025-05-29 07:00:00,2025-05-29 09:00:00,MAD,LIS
745,B737-002,2025-05-29 12:00:00,2025-05-29 15:00:00,LIS,FRA
746,B737-003,2025-05-30 13:00:00,2025-05-30 15:00:00,LGW,OPO
747,A320-001,2025-05-30 15:00:00,2025-05-30 16:00:00,ORY,MAD
748,A330-003,2025-05-30 20:00:00,2025-05-30 21:00:00,CDG,BCN
749,A330-002,2025-05-30 09:00:00,2025-05-30 12:00:00,ORY,LHR
750,A320-002,2025-05-30 10:00:00,2025-05-30 11:00:00,OPO,FCO
751,A320-002,2025-05-31 09:00:00,2025-05-31 12:00:00,FCO,LIS
752,A330-001,2025-05-31 18:00:00,2025-05-31 21:00:00,FCO,CDG
753,A320-001,2025-05-31 20:00:00,2025-05-31 21:00:00,MAD,FRA
754,B737-004,2025-05-31 08:00:00,2025-05-31 11:00:00,BCN,LHR
755,B737-001,2025-05-31 15:00:00,2025-05-31 17:00:00,LIS,LHR
756,A330-003,2025-06-01 18:00:00,2025-06-01 21:00:00,BCN,CDG
757,A330-002,2025-06-01 14:00:00,2025-06-01 17:00:00,LHR,OPO
758,A320-003,2025-06-01 06:00:00,2025-06-01 07:00:00,LHR,MAD
759,B737-003,2025-06-01 09:00:00,2025-06-01 10:00:00,OPO,FRA
760,B737-004,2025-06-01 15:00:00,2025-06-01 18:00:00,LHR,MAD
761,B737-004,2025-06-02 18:00:00,2025-06-02 20:00:00,MAD,LHR
762,A320-003,2025-06-02 09:00:00,2025-06-02 11:00:00,MAD,FCO
763,A330-002,2025-06-02 12:00:00,2025-06-02 14:00:00,OPO,BCN
764,A320-001,2025-06-02 16:00:00,2025-06-02 19:00:00,FRA,CDG
765,B737-003,2025-06-02 07:00:00,2025-06-02 10:00:00,FRA,MAD
766,A330-001,2025-06-03 12:00:00,2025-06-03 15:00:00,CDG,ORY
767,B737-002,2025-06-03 17:00:00,2025-06-03 19:00:00,FRA,CDG
768,A320-002,2025-06-03 11:00:00,2025-06-03 12:00:00,LIS,MAD
769,A320-001,2025-06-03 06:00:00,2025-06-03 08:00:00,CDG,OPO
770,B737-001,2025-06-03 11:00:00,2025-06-03 13:00:00,LHR,FCO
771,A320-002,2025-06-04 14:00:00,2025-06-04 17:00:00,MAD,FCO
772,B737-001,2025-06-04 12:00:00,2025-06-04 13:00:00,FCO,BCN
773,B737-004,2025-06-04 07:00:00,2025-06-04 09:00:00,LHR,LIS
774,B737-003,2025-06-04 07:00:00,2025-06-04 10:00:00,MAD,BCN
775,B737-002,2025-06-04 19:00:00,2025-06-04 21:00:00,CDG,MAD
776,A320-001,2025-06-05 20:00:00,2025-06-05 21:00:00,OPO,BCN
777,A330-001,2025-06-05 08:00:00,2025-06-05 11:00:00,ORY,BCN
778,A320-003,2025-06-05 08:00:00,2025-06-05 09:00:00,FCO,MAD
779,B737-002,2025-06-05 10:00:00,2025-06-05 12:00:00,MAD,LHR
780,B737-004,2025-06-05 08:00:00,2025-06-05 09:00:00,LIS,FCO
781,B737-001,2025-06-06 18:00:00,2025-06-06 19:00:00,BCN,FRA
782,A320-003,2025-06-06 10:00:00,2025-06-06 11:00:00,MAD,LGW
783,A330-001,2025-06-06 15:00:00,2025-06-06 18:00:00,BCN,FRA
784,B737-002,2025-06-06 13:00:00,2025-06-06 14:00:00,LHR,ORY
785,B737-004,2025-06-06 10:00:00,2025-06-06 11:00:00,FCO,CDG
786,A320-003,2025-06-07 11:00:00,2025-06-07 13:00:00,LGW,FCO
787,A330-002,2025-06-07 10:00:00,2025-06-07 12:00:00,BCN,CDG
788,B737-004,2025-06-07 13:00:00,2025-06-07 15:00:00,CDG,LHR
789,B737-003,2025-06-07 12:00:00,2025-06-07 14:00:00,BCN,CDG
790,B737-001,2025-06-07 17:00:00,2025-06-07 20:00:00,FRA,LHR
791,B737-003,2025-06-08 11:00:00,2025-06-08 12:00:00,CDG,FRA
792,B737-002,2025-06-08 15:00:00,2025-06-08 18:00:00,ORY,LHR
793,A330-002,2025-06-08 16:00:00,2025-06-08 19:00:00,CDG,ORY
794,A330-003,2025-06-08 17:00:00,2025-06-08 19:00:00,CDG,LIS
795,B737-001,2025-06-08 13:00:00,2025-06-08 15:00:00,LHR,ORY
796,A320-002,2025-06-09 09:00:00,2025-06-09 11:00:00,FCO,LHR
797,A320-003,2025-06-09 17:00:00,2025-06-09 19:00:00,FCO,CDG
798,B737-003,2025-06-09 07:00:00,2025-06-09 09:00:00,FRA,MAD
799,B737-004,2025-06-09 15:00:00,2025-06-09 17:00:00,LHR,FCO
800,A330-002,2025-06-09 14:00:00,2025-06-09 17:00:00,ORY,BCN
801,A320-003,2025-06-10 15:00:00,2025-06-10 18:00:00,CDG,BCN
802,A330-003,2025-06-10 07:00:00,2025-06-10 08:00:00,LIS,CDG
803,A320-001,2025-06-10 08:00:00,2025-06-10 11:00:00,BCN,LGW
804,B737-004,2025-06-10 15:00:00,2025-06-10 18:00:00,FCO,LIS
805,B737-001,2025-06-10 18:00:00,2025-06-10 20:00:00,ORY,FRA
806,A320-003,2025-06-11 14:00:00,2025-06-11 17:00:00,BCN,ORY
807,A320-002,2025-06-11 14:00:00,2025-06-11 17:00:00,LHR,BCN
808,A320-001,2025-06-11 13:00:00,2025-06-11 15:00:00,LGW,ORY
809,B737-003,2025-06-11 13:00:00,2025-06-11 16:00:00,MAD,FRA
810,B737-001,2025-06-11 08:00:00,2025-06-11 10:00:00,FRA,BCN
811,A320-001,2025-06-12 07:00:00,2025-06-12 10:00:00,ORY,OPO
812,B737-003,2025-06-12 11:00:00,2025-06-12 13:00:00,FRA,CDG
813,A320-002,2025-06-12 13:00:00,2025-06-12 14:00:00,BCN,LGW
814,B737-001,2025-06-12 13:00:00,2025-06-12 15:00:00,BCN,FCO
815,B737-002,2025-06-12 07:00:00,2025-06-12 09:00:00,LHR,FCO
816,B737-003,2025-06-13 06:00:00,2025-06-13 08:00:00,CDG,OPO
817,A330-002,2025-06-13 16:00:00,2025-06-13 17:00:00,BCN,OPO
818,A320-002,2025-06-13 14:00:00,2025-06-13 15:00:00,LGW,ORY
819,B737-001,2025-06-13 08:00:00,2025-06-13 10:00:00,FCO,BCN
820,A320-001,2025-06-13 12:00:00,2025-06-13 14:00:00,OPO,BCN
821,B737-002,2025-06-14 12:00:00,2025-06-14 13:00:00,FCO,MAD
822,A320-003,2025-06-14 13:00:00,2025-06-14 16:00:00,ORY,LHR
823,B737-001,2025-06-14 12:00:00,2025-06-14 13:00:00,BCN,MAD
824,A320-002,2025-06-14 09:00:00,2025-06-14 11:00:00,ORY,LHR
825,A330-002,2025-06-14 15:00:00,2025-06-14 16:00:00,OPO,CDG
826,A330-003,2025-06-15 07:00:00,2025-06-15 09:00:00,CDG,FCO
827,B737-001,2025-06-15 14:00:00,2025-06-15 17:00:00,MAD,FCO
828,A330-002,2025-06-15 15:00:00,2025-06-15 17:00:00,CDG,MAD
829,B737-004,2025-06-15 15:00:00,2025-06-15 16:00:00,LIS,FRA
830,A320-002,2025-06-15 11:00:00,2025-06-15 13:00:00,LHR,MAD
831,B737-004,2025-06-16 16:00:00,2025-06-16 17:00:00,FRA,OPO
832,B737-001,2025-06-16 07:00:00,2025-06-16 08:00:00,FCO,LGW
833,A330-001,2025-06-16 07:00:00,2025-06-16 08:00:00,FRA,LHR
834,B737-003,2025-06-16 17:00:00,2025-06-16 18:00:00,OPO,MAD
835,A320-003,2025-06-16 12:00:00,2025-06-16 14:00:00,LHR,BCN
836,B737-004,2025-06-17 16:00:00,2025-06-17 19:00:00,OPO,FCO
837,B737-001,2025-06-17 14:00:00,2025-06-17 15:00:00,LGW,CDG
838,A320-003,2025-06-17 10:00:00,2025-06-17 11:00:00,BCN,FRA
839,B737-002,2025-06-17 11:00:00,2025-06-17 13:00:00,MAD,CDG
840,A320-002,2025-06-17 19:00:00,2025-06-17 21:00:00,MAD,LIS
841,A320-001,2025-06-18 14:00:00,2025-06-18 17:00:00,BCN,FCO
842,B737-003,2025-06-18 12:00:00,2025-06-18 15:00:00,MAD,FCO
843,B737-001,2025-06-18 12:00:00,2025-06-18 15:00:00,CDG,FCO
844,A320-002,2025-06-18 13:00:00,2025-06-18 14:00:00,LIS,FCO
845,B737-002,2025-06-18 15:00:00,2025-06-18 16:00:00,CDG,OPO
846,B737-002,2025-06-19 10:00:00,2025-06-19 11:00:00,OPO,BCN
847,A330-001,2025-06-19 15:00:00,2025-06-19 18:00:00,LHR,FCO
848,A320-001,2025-06-19 14:00:00,2025-06-19 17:00:00,FCO,FRA
849,B737-001,2025-06-19 15:00:00,2025-06-19 16:00:00,FCO,OPO
850,A320-002,2025-06-19 18:00:00,2025-06-19 21:00:00,FCO,LHR
851,A330-002,2025-06-20 14:00:00,2025-06-20 15:00:00,MAD,FCO
852,A330-003,2025-06-20 07:00:00,2025-06-20 10:00:00,FCO,MAD
853,A320-001,2025-06-20 10:00:00,2025-06-20 11:00:00,FRA,ORY
854,A320-003,2025-06-20 10:00:00,2025-06-20 12:00:00,FRA,FCO
855,B737-004,2025-06-20 13:00:00,2025-06-20 14:00:00,FCO,OPO
856,B737-002,2025-06-21 08:00:00,2025-06-21 11:00:00,BCN,MAD
857,B737-004,2025-06-21 18:00:00,2025-06-21 19:00:00,OPO,ORY
858,A330-002,2025-06-21 18:00:00,2025-06-21 19:00:00,FCO,ORY
859,A320-003,2025-06-21 14:00:00,2025-06-21 16:00:00,FCO,LGW
860,B737-003,2025-06-21 08:00:00,2025-06-21 10:00:00,FCO,BCN
861,A330-001,2025-06-22 08:00:00,2025-06-22 10:00:00,FCO,OPO
862,B737-004,2025-06-22 10:00:00,2025-06-22 13:00:00,ORY,LIS
863,A330-003,2025-06-22 17:00:00,2025-06-22 18:00:00,MAD,CDG
864,A320-003,2025-06-22 08:00:00,2025-06-22 11:00:00,LGW,ORY
865,B737-003,2025-06-22 19:00:00,2025-06-22 20:00:00,BCN,LGW
866,A320-003,2025-06-23 16:00:00,2025-06-23 18:00:00,ORY,LGW
867,B737-003,2025-06-23 13:00:00,2025-06-23 14:00:00,LGW,FRA
868,B737-001,2025-06-23 12:00:00,2025-06-23 15:00:00,OPO,CDG
869,A330-001,2025-06-23 17:00:00,2025-06-23 19:00:00,OPO,LGW
870,A330-002,2025-06-23 13:00:00,2025-06-23 15:00:00,ORY,FCO
871,B737-004,2025-06-24 19:00:00,2025-06-24 20:00:00,LIS,MAD
872,A320-001,2025-06-24 12:00:00,2025-06-24 13:00:00,ORY,BCN
873,A320-002,2025-06-24 19:00:00,2025-06-24 20:00:00,LHR,FRA
874,A330-002,2025-06-24 10:00:00,2025-06-24 12:00:00,FCO,FRA
875,B737-002,2025-06-24 11:00:00,2025-06-24 14:00:00,MAD,LHR
876,B737-004,2025-06-25 06:00:00,2025-06-25 07:00:00,MAD,LIS
877,B737-001,2025-06-25 06:00:00,2025-06-25 07:00:00,CDG,FCO
878,B737-003,2025-06-25 13:00:00,2025-06-25 15:00:00,FRA,CDG
879,A320-003,2025-06-25 12:00:00,2025-06-25 13:00:00,LGW,LIS
880,A330-003,2025-06-25 20:00:00,2025-06-25 23:00:00,CDG,ORY
881,A330-001,2025-06-26 10:00:00,2025-06-26 11:00:00,LGW,MAD
882,B737-001,2025-06-26 16:00:00,2025-06-26 19:00:00,FCO,LGW
883,B737-004,2025-06-26 06:00:00,2025-06-26 08:00:00,LIS,ORY
884,A320-001,2025-06-26 17:00:00,2025-06-26 20:00:00,BCN,LHR
885,A330-002,2025-06-26 12:00:00,2025-06-26 15:00:00,FRA,ORY
886,A320-002,2025-06-27 08:00:00,2025-06-27 11:00:00,FRA,OPO
887,B737-004,2025-06-27 14:00:00,2025-06-27 17:00:00,ORY,LHR
888,A320-001,2025-06-27 06:00:00,2025-06-27 07:00:00,LHR,FCO
889,A330-003,2025-06-27 19:00:00,2025-06-27 20:00:00,ORY,MAD
890,B737-002,2025-06-27 17:00:00,2025-06-27 18:00:00,LHR,FRA
891,B737-003,2025-06-28 07:00:00,2025-06-28 09:00:00,CDG,OPO
892,A320-002,2025-06-28 20:00:00,2025-06-28 22:00:00,OPO,MAD
893,B737-002,2025-06-28 12:00:00,2025-06-28 13:00:00,FRA,CDG
894,B737-004,2025-06-28 07:00:00,2025-06-28 10:00:00,LHR,CDG
895,A320-001,2025-06-28 15:00:00,2025-06-28 18:00:00,FCO,LIS
896,B737-001,2025-06-29 20:00:00,2025-06-29 22:00:00,LGW,CDG
897,B737-003,2025-06-29 19:00:00,2025-06-29 20:00:00,OPO,FCO
898,A330-002,2025-06-29 20:00:00,2025-06-29 21:00:00,ORY,OPO
899,A330-003,2025-06-29 18:00:00,2025-06-29 19:00:00,MAD,CDG
900,A320-002,2025-06-29 11:00:00,2025-06-29 13:00:00,MAD,FRA
901,A330-002,2025-06-30 09:00:00,2025-06-30 12:00:00,OPO,CDG
902,B737-001,2025-06-30 18:00:00,2025-06-30 21:00:00,CDG,LGW
903,B737-002,2025-06-30 19:00:00,2025-06-30 22:00:00,CDG,LIS
904,A330-003,2025-06-30 09:00:00,2025-06-30 12:00:00,CDG,LGW
905,B737-004,2025-06-30 09:00:00,2025-06-30 12:00:00,CDG,BCN
906,A320-003,2025-07-01 12:00:00,2025-07-01 13:00:00,LIS,FCO
907,A330-001,2025-07-01 13:00:00,2025-07-01 16:00:00,MAD,ORY
908,A320-001,2025-07-01 14:00:00,2025-07-01 15:00:00,LIS,CDG
909,B737-004,2025-07-01 20:00:00,2025-07-01 22:00:00,BCN,LGW
910,A320-002,2025-07-01 12:00:00,2025-07-01 15:00:00,FRA,CDG
911,A320-003,2025-07-02 06:00:00,2025-07-02 09:00:00,FCO,OPO
912,A330-002,2025-07-02 06:00:00,2025-07-02 08:00:00,CDG,OPO
913,B737-001,2025-07-02 06:00:00,2025-07-02 07:00:00,LGW,ORY
914,B737-004,2025-07-02 14:00:00,2025-07-02 16:00:00,LGW,FRA
915,B737-002,2025-07-02 18:00:00,2025-07-02 20:00:00,LIS,BCN
916,A320-003,2025-07-03 15:00:00,2025-07-03 16:00:00,OPO,BCN
917,B737-004,2025-07-03 07:00:00,2025-07-03 09:00:00,FRA,LHR
918,A320-002,2025-07-03 14:00:00,2025-07-03 15:00:00,CDG,OPO
919,A330-002,2025-07-03 14:00:00,2025-07-03 16:00:00,OPO,ORY
920,A330-001,2025-07-03 15:00:00,2025-07-03 18:00:00,ORY,FRA
921,A320-002,2025-07-04 09:00:00,2025-07-04 10:00:00,OPO,LIS
922,A330-001,2025-07-04 07:00:00,2025-07-04 09:00:00,FRA,MAD
923,A320-003,2025-07-04 10:00:00,2025-07-04 13:00:00,BCN,LIS
924,A330-002,2025-07-04 07:00:00,2025-07-04 08:00:00,ORY,CDG
925,B737-004,2025-07-04 17:00:00,2025-07-04 18:00:00,LHR,CDG
926,B737-001,2025-07-05 08:00:00,2025-07-05 10:00:00,ORY,LGW
927,B737-003,2025-07-05 17:00:00,2025-07-05 19:00:00,FCO,CDG
928,A330-002,2025-07-05 18:00:00,2025-07-05 19:00:00,CDG,OPO
929,A330-001,2025-07-05 18:00:00,2025-07-05 20:00:00,MAD,LGW
930,A320-003,2025-07-05 14:00:00,2025-07-05 15:00:00,LIS,LGW
931,A330-001,2025-07-06 06:00:00,2025-07-06 08:00:00,LGW,MAD
932,A320-002,2025-07-06 11:00:00,2025-07-06 12:00:00,LIS,ORY
933,B737-003,2025-07-06 18:00:00,2025-07-06 19:00:00,CDG,LGW
934,B737-002,2025-07-06 09:00:00,2025-07-06 12:00:00,BCN,OPO
935,B737-004,2025-07-06 06:00:00,2025-07-06 07:00:00,CDG,BCN
936,A320-001,2025-07-07 20:00:00,2025-07-07 21:00:00,CDG,FRA
937,B737-002,2025-07-07 20:00:00,2025-07-07 21:00:00,OPO,ORY
938,B737-004,2025-07-07 18:00:00,2025-07-07 21:00:00,BCN,FCO
939,A330-003,2025-07-07 09:00:00,2025-07-07 11:00:00,LGW,FRA
940,B737-001,2025-07-07 12:00:00,2025-07-07 15:00:00,LGW,ORY
941,A330-002,2025-07-08 14:00:00,2025-07-08 17:00:00,OPO,CDG
942,A330-001,2025-07-08 08:00:00,2025-07-08 09:00:00,MAD,LIS
943,A320-002,2025-07-08 06:00:00,2025-07-08 08:00:00,ORY,BCN
944,A330-003,2025-07-08 20:00:00,2025-07-08 22:00:00,FRA,OPO
945,B737-001,2025-07-08 18:00:00,2025-07-08 20:00:00,ORY,LGW
946,A330-002,2025-07-09 10:00:00,2025-07-09 13:00:00,CDG,LHR
947,A320-002,2025-07-09 17:00:00,2025-07-09 20:00:00,BCN,LHR
948,B737-003,2025-07-09 13:00:00,2025-07-09 15:00:00,LGW,ORY
949,A320-001,2025-07-09 18:00:00,2025-07-09 19:00:00,FRA,FCO
950,B737-001,2025-07-09 18:00:00,2025-07-09 19:00:00,LGW,BCN
951,B737-001,2025-07-10 11:00:00,2025-07-10 14:00:00,BCN,FCO
952,A320-001,2025-07-10 11:00:00,2025-07-10 12:00:00,FCO,LIS
953,A320-003,2025-07-10 19:00:00,2025-07-10 22:00:00,LGW,FRA
954,A330-003,2025-07-10 07:00:00,2025-07-10 08:00:00,OPO,LGW
955,A320-002,2025-07-10 09:00:00,2025-07-10 11:00:00,LHR,BCN
956,B737-003,2025-07-11 06:00:00,2025-07-11 07:00:00,ORY,OPO
957,A320-001,2025-07-11 12:00:00,2025-07-11 15:00:00,LIS,BCN
958,B737-001,2025-07-11 13:00:00,2025-07-11 16:00:00,FCO,LGW
959,A330-002,2025-07-11 15:00:00,2025-07-11 16:00:00,LHR,OPO
960,B737-004,2025-07-11 08:00:00,2025-07-11 11:00:00,FCO,BCN
961,A320-003,2025-07-12 09:00:00,2025-07-12 11:00:00,FRA,CDG
962,A320-002,2025-07-12 19:00:00,2025-07-12 21:00:00,BCN,LHR
963,A320-001,2025-07-12 17:00:00,2025-07-12 20:00:00,BCN,MAD
964,B737-002,2025-07-12 11:00:00,2025-07-12 13:00:00,ORY,MAD
965,A330-002,2025-07-12 09:00:00,2025-07-12 10:00:00,OPO,LGW
966,B737-002,2025-07-13 13:00:00,2025-07-13 15:00:00,MAD,CDG
967,B737-001,2025-07-13 12:00:00,2025-07-13 13:00:00,LGW,MAD
968,A320-002,2025-07-13 11:00:00,2025-07-13 12:00:00,LHR,BCN
969,B737-003,2025-07-13 10:00:00,2025-07-13 12:00:00,OPO,FCO
970,A320-001,2025-07-13 19:00:00,2025-07-13 20:00:00,MAD,LHR
971,A320-002,2025-07-14 09:00:00,2025-07-14 11:00:00,BCN,LIS
972,B737-001,2025-07-14 07:00:00,2025-07-14 10:00:00,MAD,CDG
973,A330-001,2025-07-14 11:00:00,2025-07-14 13:00:00,LIS,LHR
974,A320-003,2025-07-14 06:00:00,2025-07-14 09:00:00,CDG,BCN
975,A330-002,2025-07-14 10:00:00,2025-07-14 11:00:00,LGW,LHR
976,A320-001,2025-07-15 09:00:00,2025-07-15 10:00:00,LHR,BCN
977,A320-003,2025-07-15 07:00:00,2025-07-15 08:00:00,BCN,FRA
978,B737-003,2025-07-15 06:00:00,2025-07-15 07:00:00,FCO,OPO
979,A330-001,2025-07-15 08:00:00,2025-07-15 09:00:00,LHR,ORY
980,A330-002,2025-07-15 11:00:00,2025-07-15 14:00:00,LHR,FRA
981,A320-002,2025-07-16 20:00:00,2025-07-16 23:00:00,LIS,LHR
982,A330-001,2025-07-16 18:00:00,2025-07-16 19:00:00,ORY,FCO
983,B737-004,2025-07-16 20:00:00,2025-07-16 22:00:00,BCN,OPO
984,A320-001,2025-07-16 06:00:00,2025-07-16 08:00:00,BCN,OPO
985,A320-003,2025-07-16 08:00:00,2025-07-16 11:00:00,FRA,LIS
986,A320-003,2025-07-17 08:00:00,2025-07-17 10:00:00,LIS,FRA
987,B737-004,2025-07-17 20:00:00,2025-07-17 21:00:00,OPO,LHR
988,B737-003,2025-07-17 10:00:00,2025-07-17 12:00:00,OPO,LGW
989,A320-001,2025-07-17 06:00:00,2025-07-17 09:00:00,OPO,ORY
990,B737-002,2025-07-17 16:00:00,2025-07-17 18:00:00,CDG,LHR
991,B737-003,2025-07-18 12:00:00,2025-07-18 13:00:00,LGW,LHR
992,A320-003,2025-07-18 09:00:00,2025-07-18 12:00:00,FRA,MAD
993,B737-004,2025-07-18 09:00:00,2025-07-18 12:00:00,LHR,BCN
994,A320-001,2025-07-18 18:00:00,2025-07-18 19:00:00,ORY,BCN
995,A330-003,2025-07-18 18:00:00,2025-07-18 21:00:00,LGW,FRA
996,A330-002,2025-07-19 11:00:00,2025-07-19 13:00:00,FRA,BCN
997,B737-003,2025-07-19 08:00:00,2025-07-19 09:00:00,LHR,LGW
998,A330-003,2025-07-19 15:00:00,2025-07-19 16:00:00,FRA,LGW
999,B737-001,2025-07-19 20:00:00,2025-07-19 22:00:00,CDG,LIS
1000,A330-001,2025-07-19 18:00:00,2025-07-19 20:00:00,FCO,LIS
1001,A330-003,2025-07-20 16:00:00,2025-07-20 17:00:00,LGW,ORY
1002,A330-002,2025-07-20 14:00:00,2025-07-20 17:00:00,BCN,LHR
1003,B737-002,2025-07-20 18:00:00,2025-07-20 19:00:00,LHR,LIS
1004,A320-002,2025-07-20 11:00:00,2025-07-20 12:00:00,LHR,FRA
1005,A320-001,2025-07-20 09:00:00,2025-07-20 12:00:00,BCN,CDG
1006,A330-002,2025-07-21 15:00:00,2025-07-21 18:00:00,LHR,MAD
1007,B737-004,2025-07-21 15:00:00,2025-07-21 16:00:00,BCN,CDG
1008,A320-001,2025-07-21 14:00:00,2025-07-21 16:00:00,CDG,FCO
1009,A330-003,2025-07-21 13:00:00,2025-07-21 14:00:00,ORY,CDG
1010,A320-003,2025-07-21 06:00:00,2025-07-21 07:00:00,MAD,OPO
1011,B737-004,2025-07-22 11:00:00,2025-07-22 14:00:00,CDG,LIS
1012,B737-002,2025-07-22 18:00:00,2025-07-22 19:00:00,LIS,LHR
1013,A320-001,2025-07-22 17:00:00,2025-07-22 18:00:00,FCO,LGW
1014,A330-001,2025-07-22 06:00:00,2025-07-22 07:00:00,LIS,MAD
1015,A330-003,2025-07-22 15:00:00,2025-07-22 18:00:00,CDG,ORY
1016,B737-001,2025-07-23 15:00:00,2025-07-23 16:00:00,LIS,FRA
1017,A320-002,2025-07-23 10:00:00,2025-07-23 12:00:00,FRA,LGW
1018,A330-002,2025-07-23 08:00:00,2025-07-23 11:00:00,MAD,CDG
1019,A320-001,2025-07-23 18:00:00,2025-07-23 21:00:00,LGW,FRA
1020,B737-004,2025-07-23 16:00:00,2025-07-23 18:00:00,LIS,FCO
